Dato;Maestro RNDC (XLS);Sistema (BD campo);XML RNDC (tag);UI (componente);Estado
Cédula / NIT;NUMIDTERCERO;conductor.cedula;<NUMIDTERCERO> (procesoid 11);ConductorForm (input) · List · Detalle;OK
Nombres;NOMIDTERCERO;conductor.nombres;<NOMIDTERCERO> (procesoid 11);ConductorForm (input) · List · Detalle;OK
Primer apellido;PRIMERAPELLIDOIDTERCERO;conductor.apellidos (concatena 1ro+2do);<PRIMERAPELLIDOIDTERCERO> (procesoid 11);ConductorForm (input) · List · Detalle;OK
Segundo apellido;SEGUNDOAPELLIDOIDTERCERO;conductor.apellidos (concatena 1ro+2do);<SEGUNDOAPELLIDOIDTERCERO> (procesoid 11);ConductorForm (input) · List · Detalle;OK
Categoría licencia;CODCATEGORIALICENCIACONDUCCION;conductor.categoriaLicencia;<CODCATEGORIALICENCIACONDUCCION> (procesoid 11 — verificar en Diccionario de Datos);ConductorForm (select) · List · Detalle;OK
Vigencia licencia;FECHAVENCIMIENTOLICENCIA;conductor.licenciaVigencia;<FECHAVENCIMIENTOLICENCIA> (procesoid 11);ConductorForm (date) · List · Detalle;OK
Teléfono;NUMTELEFONOCONTACTO;conductor.telefono;<NUMTELEFONOCONTACTO> (procesoid 11);ConductorForm (input) · Detalle;OK
Celular;NUMCELULARPERSONA;conductor.celular;<NUMCELULARPERSONA> (procesoid 11);ConductorForm (input) · Detalle;FALTA UI
Email;EMAILTERCERO;conductor.email;<EMAILTERCERO> (procesoid 11);ConductorForm (input) · Detalle;OK
Municipio;MUNICIPIORNDC (1ra palabra);conductor.municipio;No aplica (se envía el DANE);ConductorForm (select) · Detalle;FALTA UI
Código DANE municipio;CODMUNICIPIORNDC (÷1000 → 5 dígitos);conductor.daneMunicipio;<CODMUNICIPIORNDC> (procesoid 11 — 8 dígitos);ConductorForm (oculto/auto);FALTA UI
Dirección;NOMENCLATURADIRECCION;conductor.direccion;<NOMENCLATURADIRECCION> (procesoid 11);ConductorForm (input) · Detalle;FALTA UI
Latitud GPS;LATITUD;conductor.latitud;<LATITUD> (procesoid 11 — entre -5 y 14 con 6 decimales);ConductorDetalle (mapa);FALTA UI
Longitud GPS;LONGITUD;conductor.longitud;<LONGITUD> (procesoid 11 — entre -79 y -66 con 6 decimales);ConductorDetalle (mapa);FALTA UI
Número licencia;NUMLICENCIACONDUCCION;conductor.numLicencia;<NUMLICENCIACONDUCCION> (procesoid 11);ConductorForm (input) · Detalle;OK
Tipo ID (texto);TIPOIDTERCERO;conductor.tipoIdTexto;No aplica (texto descriptivo — el código va en CODTIPOIDTERCERO);ConductorForm (readonly auto);FALTA UI
Código tipo ID;CODTIPOIDTERCERO;conductor.codTipoId;<CODTIPOIDTERCERO> (procesoid 11 — siempre "C" para conductores);ConductorDetalle (readonly);OK
Nombre sede;NOMSEDETERCERO;conductor.nomSede;<NOMSEDETERCERO> (procesoid 11 — para sedes);ConductorDetalle (readonly);OK
Código sede;CODSEDETERCERO;conductor.codSede;<CODSEDETERCERO> (procesoid 11 — 0=principal);ConductorDetalle (readonly);OK
Régimen simple;REGIMENSIMPLE;conductor.regimenSimple;<REGIMENSIMPLE> (procesoid 11);ConductorForm (checkbox/switch);FALTA UI
País;CODPAIS / NOMBREPAIS;conductor.codPais + conductor.nombrePais;No aplica (metadato maestro — no va en XML procesoid 11);ConductorForm (select — default Colombia);FALTA UI
NIT empresa transporte;NUMNITEMPRESATRANSPORTE;conductor.nitEmpresaTransporte;<NUMNITEMPRESATRANSPORTE> (procesoid 11 — obligatorio);Config env / ConductorDetalle (readonly);OK
Código empresa;CODIGOEMPRESA;conductor.codigoEmpresaRndc;No aplica (metadato maestro — código interno asignado por RNDC);ConductorDetalle (readonly);FALTA UI
Nombre empresa;TEREMPRESA;conductor.nombreEmpresaRndc;No aplica (metadato maestro — nombre empresa transporte);ConductorDetalle (readonly);FALTA UI
Fecha ingreso RNDC;FECHAINGRESO;conductor.fechaIngresoRndc;No aplica (metadato maestro — fecha registro asignada por RNDC);ConductorDetalle (readonly);FALTA UI
Usuario RNDC;USUARIOID;conductor.usuarioRndc;No aplica (metadato maestro — ID usuario que registró en RNDC);ConductorDetalle (readonly);FALTA UI
Sincronizado RNDC;No aplica (calculado por importación);conductor.sincronizadoRndc;No aplica (flag interno — true si existe en RNDC);ConductorList (badge Registrado/Sin sincronizar);OK
Activo;No aplica (calculado);conductor.activo;No aplica;ConductorList (badge Activo/Inactivo);OK
Notas;No aplica;conductor.notas;No aplica;ConductorForm (textarea) · Detalle;OK
Consulta RUNT;No aplica;conductor.ultimaConsultaRunt;No aplica;ConductorDetalle (card RNDC);OK
Snapshot RUNT;No aplica;conductor.snapshotRunt;No aplica;No aplica (interno);OK
